2015-10-22 15:59:17.885 E  Derelict: cannot load freetype shared library: Failed to load symbol FT_Gzip_Uncompress from shared library libfreetype-6.dll
2015-10-22 15:59:17.895 E  Cannot create FreeTypeFontManager - falling back to win32
2015-10-22 15:59:17.895 I  Creating Win32FontManager
2015-10-22 15:59:17.895 I  Win32FontManager.init()
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Arial)
2015-10-22 15:59:17.895 D  registerFont(Serif,Batang)
2015-10-22 15:59:17.895 D  registerFont(MonoSpace,BatangChe)
2015-10-22 15:59:17.895 D  registerFont(Serif,Gungsuh)
2015-10-22 15:59:17.895 D  registerFont(MonoSpace,GungsuhChe)
2015-10-22 15:59:17.895 D  registerFont(MonoSpace,Courier New)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,DaunPenh)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,DokChampa)
2015-10-22 15:59:17.895 D  registerFont(Cursive,Estrangelo Edessa)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Euphemia)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Gautami)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Vani)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Gulim)
2015-10-22 15:59:17.895 D  registerFont(MonoSpace,GulimChe)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Dotum)
2015-10-22 15:59:17.895 D  registerFont(MonoSpace,DotumChe)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Impact)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Iskoola Pota)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Kalinga)
2015-10-22 15:59:17.895 D  registerFont(Serif,Kartika)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Khmer UI)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Lao UI)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Latha)
2015-10-22 15:59:17.895 D  registerFont(MonoSpace,Lucida Console)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Malgun Gothic)
2015-10-22 15:59:17.895 D  registerFont(Serif,Mangal)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Meiryo)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Meiryo UI)
